what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318709242910
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318709245712
closed,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1318709245712
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1318709247134
opened,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1318709248479
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1318709248550
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.refresh",1318709249881
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318709256555
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1318709269712
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318709269715
no handler,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.findReplace",1318709270731
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1318709273722
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318709281392
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318709282779
error,log,,,"WARNING: Prevented recursive attempt to activate part org.eclipse.ui.console.ConsoleView while still in the middle of activating part org.eclipse.ui.DefaultTextEditor",1318709282788
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1318709282846
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318709282867
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318709283806
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1318709283823
error,log,,,"Unhandled event loop exception",1318709288450
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1318709288482
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1318709307264
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318709309955
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318709333034
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.properties",1318709333052
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1318709334267
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.refresh",1318709335501
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318709337999
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1318709338795
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318709339832
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318709355199
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.refresh",1318709355518
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318709356863
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318709366586
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1318709368563
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1318709371807
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318709377878
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318709378458
