what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1326440371411
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1326440371648
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1326440371834
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1326440372026
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1326440372202
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1326440372566
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1326440373122
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1326440374400
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1326440447072
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1326440454790
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1326440486112
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326440520937
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326440539462
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326440555161
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326440618641
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1326440620968
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1326440622013
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326440628368
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326440632130
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1326440632149
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326440634719
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1326440662263
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326440662318
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326440665610
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326441844481
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1326441846617
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1326441854323
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1326441856023
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1326441869142
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1326441877009
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1326441880208
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1326441887198
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1326441888985
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326441906311
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326441914677
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1326441918382
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326441924284
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326441926666
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1326441927719
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1326441929557
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1326441930128
